,Year,Month,State,Location,Food,Species,Illnesses,Hospitalizations,Fatalities
3120,2000,April,Ohio,Private Home/Residence,"Home Canned Pepper, Unspecified",Clostridium botulinum,3,3.0,1.0
3134,2000,April,Pennsylvania,Grocery Store,"Salmon, Unspecified",Bacillus cereus,3,0.0,0.0
3140,2000,April,Virginia,Private Home/Residence,Macaroni And Cheese,Salmonella enterica,106,14.0,0.0
3144,2000,April,Washington,Restaurant,"Pork, Bbq",Clostridium perfringens,2,0.0,0.0
3153,2000,May,Arkansas,Restaurant,"Chicken, Unspecified","Escherichia coli, Shiga toxin-producing",36,14.0,0.0
3154,2000,May,California,Restaurant,"Rice, Unspecified",Clostridium perfringens; Bacillus cereus,15,0.0,0.0
3155,2000,May,California,Restaurant,"Carne Asada; Pork, Other",Salmonella enterica,17,6.0,0.0
3170,2000,May,Connecticut,Restaurant,Lettuce-Based Salads Unspecified,Campylobacter jejuni,13,1.0,0.0
3173,2000,May,Florida,,"Sausage, Other",Staphylococcus aureus,6,6.0,
3180,2000,May,Florida,Restaurant,"Chicken, Bbq",Norovirus genogroup I,17,0.0,0.0
3182,2000,May,Florida,Restaurant,"Soda, Unspecified; Pizza, Unspecified",Norovirus genogroup I,142,0.0,0.0
3186,2000,May,Florida,Restaurant,"Chicken, Unspecified",Staphylococcus aureus,8,2.0,
3188,2000,May,Florida,Restaurant,"Salad, Unspecified",Salmonella enterica,6,0.0,0.0
3189,2000,May,Florida,Restaurant,"Fish, Dolphin",Ciguatoxin,4,1.0,
3192,2000,May,Florida,Private Home/Residence,"Snapper, Unspecified",Ciguatoxin,4,2.0,
3194,2000,May,Florida,Restaurant,"Pizza, Cheese",Staphylococcus aureus,7,0.0,0.0
3196,2000,May,Florida,Restaurant,French Fries,Chemical or toxin,3,0.0,0.0
3197,2000,May,Florida,Restaurant,Alfalfa Sprouts,Salmonella enterica,3,0.0,0.0
3198,2000,May,Georgia,Restaurant,Blackberries; Raspberries,Cyclospora cayatenensis,19,0.0,0.0
3199,2000,May,Georgia,Restaurant,Chicken Salad,Staphylococcus aureus,12,11.0,0.0
3202,2000,May,Hawaii,Private Home/Residence,"Fish, Akule",Scombroid toxin,3,0.0,0.0
3203,2000,May,Hawaii,Restaurant,"Ground Beef, Meatloaf",Staphylococcus aureus,3,0.0,0.0
3204,2000,May,Hawaii,Private Home/Residence,"Fish, Kole",Ciguatoxin,2,0.0,0.0
3206,2000,May,Hawaii,Restaurant,"Fish, Ahi",Scombroid toxin,4,0.0,
3210,2000,May,Illinois,Restaurant,"Roast Beef, Unspecified",Clostridium perfringens,11,0.0,0.0
3213,2000,May,Illinois,Restaurant,Tuna Steak,Scombroid toxin,2,0.0,0.0
3217,2000,May,Illinois,Catering Service; Grocery Store,"Ham, Unspecified; Crab, Unspecified; Ranch Dressing",Norovirus genogroup I,55,2.0,0.0
3218,2000,May,Illinois,Catering Service,"Melon, Unspecified",Staphylococcus aureus; Bacillus cereus,55,2.0,0.0
3224,2000,May,Maine,Restaurant,"Eggs, Unspecified",Salmonella enterica,2,1.0,0.0
3228,2000,May,Maryland,Restaurant,Chicken Salad,Clostridium perfringens,23,0.0,0.0
3244,2000,May,Michigan,Restaurant,"Salad, Unspecified; Salad Dressing, Unspecified",Salmonella enterica,75,2.0,0.0
3248,2000,May,Minnesota,Restaurant,Multiple Foods,Shigella sonnei,3,3.0,0.0
3251,2000,May,Multistate,Restaurant,"Deli Meat, Sliced Turkey",Listeria monocytogenes,29,29.0,7.0
3252,2000,May,New Mexico,Private Home/Residence,"Stew/Chili, Other",Salmonella enterica,32,2.0,0.0
3253,2000,May,New York,Private Home/Residence; Religious Facility,Multiple Foods,Virus,46,0.0,0.0
3258,2000,May,New York,Restaurant,Multiple Foods,Salmonella enterica,7,0.0,0.0
3267,2000,May,Oregon,,"Cake, Unspecified",Norovirus genogroup I,12,0.0,0.0
3269,2000,May,Pennsylvania,Private Home/Residence,"Ice Cream, Homemade",Salmonella enterica,9,0.0,0.0
3272,2000,May,Pennsylvania,Catering Service,"Chicken, Marsala",Clostridium perfringens,13,0.0,0.0
3279,2000,May,Washington,,"Relish, Unspecified; Oil, Unspecified","Escherichia coli, Enteropathogenic",100,0.0,0.0
3280,2000,May,Wisconsin,,"Other Milk, Unpasteurized",Campylobacter jejuni,19,0.0,0.0
3283,2000,June,Alabama,Restaurant; Private Home/Residence,"Chicken, Bbq; Pork, Bbq; Beans, Baked; Pie, Chocolate",Salmonella enterica,40,1.0,0.0
3288,2000,June,Arkansas,Restaurant,Pico De Gallo,Salmonella enterica,96,6.0,0.0
3296,2000,June,California,,"Ribs, Unspecified",Staphylococcus aureus,58,0.0,0.0
3302,2000,June,California,Restaurant,"Steak, Prime Rib; Potato, Mashed",Norovirus genogroup I,12,0.0,0.0
3309,2000,June,Colorado,Private Home/Residence,"Ground Beef, Unspecified","Escherichia coli, Shiga toxin-producing",16,6.0,1.0
3313,2000,June,Colorado,Private Home/Residence,"Spaghetti, Unspecified; Ground Beef, Hamburger; Taco Or Nacho Salad","Escherichia coli, Shiga toxin-producing",7,5.0,0.0
3335,2000,June,Georgia,Restaurant,"Shell Eggs, Scrambled Hard",Salmonella enterica,26,0.0,0.0
3336,2000,June,Hawaii,Restaurant,"Fish, Mahi Mahi",Scombroid toxin,2,0.0,0.0
3338,2000,June,Idaho,Restaurant,"Taco, Beef",Salmonella enterica,4,1.0,0.0
3339,2000,June,Idaho,,"Other Milk, Unpasteurized",Campylobacter jejuni,42,1.0,0.0
3340,2000,June,Illinois,Restaurant,"Burrito, Beef; Taco, Beef; Taco, Chicken",Shigella boydii,40,2.0,0.0
3343,2000,June,Illinois,Restaurant,"Tuna, Unspecified",Scombroid toxin,2,0.0,0.0
3352,2000,June,Maine,Restaurant,"Eggs, Unspecified",Salmonella enterica,2,0.0,0.0
3355,2000,June,Maryland,Restaurant,Crab Cakes,Salmonella enterica,18,2.0,0.0
3366,2000,June,Michigan,Restaurant,"Cake, Unspecified",Norovirus genogroup I,63,1.0,0.0
3367,2000,June,Minnesota,Restaurant,Tuna Steak,Scombroid toxin,2,0.0,0.0
3368,2000,June,Minnesota,,"Other Milk, Unpasteurized",Campylobacter other,8,1.0,0.0
3370,2000,June,Minnesota,Restaurant,"Salad, Unspecified",Norovirus genogroup I,3,0.0,0.0
3372,2000,June,Minnesota,Catering Service,"Sandwich, Turkey; Cantaloupe",Norovirus genogroup I,33,0.0,0.0
3373,2000,June,Minnesota,Private Home/Residence,"Turkey, Smoked",Salmonella enterica,12,1.0,0.0
3377,2000,June,New Jersey,Nursing Home/Assisted Living Facility,"Eggs, Unspecified",Salmonella enterica,41,8.0,0.0
3385,2000,June,Ohio,Restaurant,"Salad, Unspecified; Multiple Foods",Norovirus genogroup I,31,0.0,0.0
3387,2000,June,Oklahoma,,"Other Milk, Unpasteurized",Campylobacter jejuni,11,1.0,0.0
3388,2000,June,Pennsylvania,Restaurant,Unknown Food,Salmonella enterica,4,2.0,0.0
3389,2000,June,Pennsylvania,Private Home/Residence,"Macaroni Salad; Chicken And Rice; Ham, Unspecified",Salmonella enterica,56,3.0,0.0
3390,2000,June,Pennsylvania,Catering Service,Raspberries,Cyclospora cayatenensis,54,3.0,0.0
3396,2000,June,Virginia,Catering Service,"Potato, Baked",Staphylococcus aureus,19,0.0,0.0
3399,2000,June,Wisconsin,Private Home/Residence,"Taco, Unspecified",Salmonella enterica,4,3.0,0.0
3406,2000,July,California,Restaurant,"Burrito, Chicken",Clostridium perfringens; Bacillus cereus,11,0.0,0.0
3407,2000,July,California,Restaurant,"Tuna, Raw",Norovirus genogroup I,6,0.0,0.0
3408,2000,July,California,Restaurant,"Sandwich, Submarine",Norovirus genogroup I,38,0.0,0.0
3411,2000,July,Connecticut,Private Home/Residence,"Pork, Roasted",Salmonella enterica,11,2.0,0.0
3416,2000,July,Florida,Fair/Festival,"Lemonade, Unspecified",Chemical or toxin,9,0.0,0.0
3419,2000,July,Florida,Grocery Store,"Cake, Unspecified; Ice Cream, Commercial",Norovirus genogroup II,6,0.0,0.0
3420,2000,July,Florida,Restaurant,"Chicken, Nuggets/Fingers",Salmonella enterica,3,1.0,
3421,2000,July,Florida,Restaurant,"Fish, Grouper, Unspecified",Ciguatoxin,2,0.0,0.0
3430,2000,July,Hawaii,Private Home/Residence,"Seabass, Unspecified",Ciguatoxin,2,1.0,0.0
3431,2000,July,Hawaii,Private Home/Residence,"Fish, Ahi",Scombroid toxin,7,0.0,0.0
3432,2000,July,Hawaii,Restaurant,"Fish, Ahi",Scombroid toxin,2,0.0,0.0
3438,2000,July,Indiana,Restaurant,"Taco, Unspecified; Refried Beans, Unspecified",Clostridium perfringens,10,0.0,0.0
3439,2000,July,Indiana,Restaurant,"Refried Beans, Unspecified",Clostridium perfringens; Bacillus cereus,9,0.0,0.0
3442,2000,July,Maryland,Private Home/Residence,"Fish, Gifilte",Salmonella enterica,5,0.0,0.0
3447,2000,July,Maryland,Restaurant,"Sushi, Unspecified",Norovirus genogroup I,7,0.0,0.0
3450,2000,July,Maryland,Restaurant,"Salad, Unspecified; Soda, Unspecified",Norovirus genogroup I,82,0.0,0.0
3451,2000,July,Maryland,Private Home/Residence,"Fish, Gifilte",Salmonella enterica,5,0.0,0.0
3463,2000,July,Minnesota,Private Home/Residence,"Turkey, Smoked",Salmonella enterica,14,0.0,0.0
3465,2000,July,Mississippi,Restaurant,"Roast Beef, Unspecified",Salmonella enterica,107,3.0,0.0
3468,2000,July,Multistate,Camp,"Ground Beef, Hamburger","Escherichia coli, Shiga toxin-producing",15,0.0,0.0
3469,2000,July,Multistate,Unknown,Taco Or Nacho Salad,Salmonella enterica,4,1.0,0.0
3470,2000,July,Nebraska,Restaurant,"Enchilada, Chicken",Clostridium perfringens,10,0.0,0.0
3476,2000,July,Ohio,Restaurant,"Sandwich, Submarine",Norovirus genogroup I,26,0.0,0.0
3477,2000,July,Ohio,Catering Service,"Chicken, Unspecified",Clostridium perfringens,92,0.0,0.0
3480,2000,July,Pennsylvania,Restaurant,Macaroni Salad,Salmonella enterica,32,1.0,0.0
3482,2000,July,Pennsylvania,Restaurant,"Beef, Unspecified; Mushrooms, Unspecified; Unspecified Vegetables",Salmonella enterica,4,0.0,0.0
3484,2000,July,South Carolina,Restaurant,"Tuna, Unspecified",Scombroid toxin,2,0.0,0.0
3486,2000,July,South Dakota,Nursing Home/Assisted Living Facility,Chicken Salad; Potato Salad,Staphylococcus aureus,95,13.0,2.0
3490,2000,July,Utah,Restaurant,"Fried Rice, Unspecified",Salmonella enterica,28,2.0,0.0
3492,2000,July,Washington,Restaurant,"Fried Rice, Unspecified",Bacillus cereus,10,0.0,0.0
3493,2000,July,Washington,Catering Service,"Punch, Unspecified","Escherichia coli, Shiga toxin-producing",18,2.0,0.0
3496,2000,July,Washington,Restaurant,"Ethnic Style, Unspecified",Norovirus genogroup I,3,0.0,0.0
3497,2000,July,Washington,Restaurant,"Chile Relleno, Unspecified",Salmonella enterica,3,1.0,0.0
3500,2000,July,West Virginia,Camp,"Water, Unspecified",Norovirus genogroup I,25,0.0,
3501,2000,July,Wisconsin,Restaurant,Watermelon,"Escherichia coli, Shiga toxin-producing",736,23.0,1.0
3503,2000,July,Wisconsin,Restaurant,"Chicken, Buffalo Wings; Lettuce, Unspecified","Escherichia coli, Shiga toxin-producing; Norovirus genogroup I",52,0.0,0.0
3504,2000,July,Wisconsin,Catering Service,Potato Salad; Pasta-Based Salads Unspecified,Norovirus genogroup I,21,0.0,0.0
3505,2000,July,Wisconsin,Catering Service,Pasta-Based Salads Unspecified,Norovirus genogroup I,46,0.0,0.0
3507,2000,August,Alabama,Restaurant,"Pork, Bbq",Salmonella enterica,50,5.0,0.0
3510,2000,August,Alaska,,"Bear, Unspecified",Trichinella spiralis,4,0.0,0.0
3512,2000,August,California,Catering Service,Chicken Salad,Norovirus genogroup I,22,0.0,0.0
3514,2000,August,California,Restaurant; Private Home/Residence,"Goat, Unspecified; Parsley, Unspecified",Salmonella enterica,23,5.0,0.0
3516,2000,August,California,Restaurant,"Fish, Mahi Mahi",Histamine,2,0.0,0.0
3518,2000,August,California,Private Home/Residence; Grocery Store,"Chicken, Fried; Potato Salad",Staphylococcus aureus,16,0.0,0.0
3519,2000,August,California,Catering Service,"Mixed Fruit; Potato, Unspecified",Norovirus genogroup I,55,0.0,0.0
3521,2000,August,California,Grocery Store,"Cake, Carrot; Tuna Salad",Bacillus cereus; Clostridium perfringens,3,0.0,0.0
3524,2000,August,California,Private Home/Residence,"Liver, Chicken",Salmonella enterica,4,1.0,0.0
3532,2000,August,Florida,School/College/University,"Taco, Unspecified",Bacillus cereus,4,1.0,0.0
3535,2000,August,Florida,Restaurant; Private Home/Residence,"Snapper, Unspecified",Ciguatoxin,6,0.0,0.0
3537,2000,August,Florida,,"Ribs, Unspecified",Salmonella enterica,13,2.0,0.0
3538,2000,August,Florida,Restaurant,"Fish, Grouper, Unspecified",Ciguatoxin,4,2.0,
3540,2000,August,Florida,Restaurant,"Taco, Beef; Quesadilla, Chicken; Chips And Salsa",Clostridium perfringens,3,0.0,0.0
3543,2000,August,Georgia,Catering Service,"Bread, Cornbread; Chicken, Unspecified; Ham, Unspecified",Salmonella enterica,44,8.0,0.0
3547,2000,August,Hawaii,Restaurant,"Fish, Mahi Mahi",Scombroid toxin,2,2.0,0.0
3548,2000,August,Hawaii,Private Home/Residence,"Fish, Palani (Surgeon)",Ciguatoxin,2,0.0,0.0
3549,2000,August,Hawaii,Private Home/Residence,"Fish, Roi",Ciguatoxin,5,0.0,0.0
3567,2000,August,Maryland,Catering Service,"Ham, Unspecified",Staphylococcus aureus,18,0.0,0.0
3570,2000,August,Michigan,Restaurant; Grocery Store,"Chicken, Unspecified",Norovirus genogroup I,18,0.0,0.0
3577,2000,August,Minnesota,,"Ground Beef, Hamburger","Escherichia coli, Shiga toxin-producing",3,0.0,0.0
3578,2000,August,Minnesota,Catering Service,Onion Dip; Unspecified Fruit,Shigella sonnei,24,0.0,0.0
3579,2000,August,Missouri,Private Home/Residence,Mixed Fruit,Norovirus genogroup I,14,0.0,0.0
3580,2000,August,Multistate,,"Egg-Containing Food, Other",Salmonella enterica,50,5.0,0.0
3583,2000,August,New York,Restaurant,Multiple Foods,Salmonella enterica,10,1.0,0.0
3588,2000,August,Ohio,Restaurant,"Chicken, Fried",Chemical or toxin,6,0.0,0.0
3589,2000,August,Ohio,Restaurant,"Sandwich, Submarine",Salmonella enterica,49,11.0,0.0
3593,2000,August,Ohio,Restaurant,"Shell Egg, Other",Salmonella enterica,41,11.0,0.0
3594,2000,August,Oklahoma,Restaurant,"Chicken, Fried",Salmonella enterica,8,0.0,0.0
3597,2000,August,Pennsylvania,Private Home/Residence,"Ice Cream, Homemade",Salmonella enterica,5,2.0,0.0
3599,2000,August,Pennsylvania,,Raw Milk,Campylobacter jejuni,3,1.0,0.0
3600,2000,August,South Carolina,Restaurant,"Potato, Baked; Chef Salad",Staphylococcus aureus,8,4.0,
3602,2000,August,Utah,Restaurant,Fruit Salad,Salmonella enterica,4,2.0,
3603,2000,August,Vermont,Restaurant,Potato Salad,Salmonella enterica,9,1.0,0.0
3607,2000,August,Washington,Private Home/Residence,"Mussels, Unspecified",Paralytic shellfish poison,3,3.0,
3608,2000,August,Washington,Private Home/Residence,"Mussels, Steamed",Paralytic shellfish poison,4,3.0,
3609,2000,August,Washington,Restaurant,"Fish, Ahi",Scombroid toxin,2,0.0,0.0
3610,2000,August,Washington,Restaurant,Bean Dip,Bacillus cereus,4,0.0,0.0
3611,2000,August,Washington,Restaurant,"Sandwich, Turkey",Norovirus genogroup I,3,0.0,0.0
3612,2000,August,West Virginia,,Ice,Norovirus genogroup I,37,0.0,
3613,2000,August,Wisconsin,Catering Service,Coleslaw,Salmonella enterica,26,6.0,0.0
3621,2000,September,California,Restaurant,Chop Suey; Pancit,Salmonella enterica,14,0.0,0.0
3626,2000,September,California,Private Home/Residence,"Rice, Unspecified; Beef, Bbq; Beans, Unspecified",Salmonella enterica,30,2.0,0.0
3627,2000,September,California,Private Home/Residence,Potato Salad,Norovirus genogroup I,17,0.0,0.0
3629,2000,September,Colorado,School/College/University,Jello Salad,Shigella sonnei,50,5.0,0.0
3630,2000,September,Colorado,Restaurant,"Peppers, Chili; Refried Beans, Unspecified",Clostridium perfringens,15,0.0,0.0
3631,2000,September,Connecticut,Restaurant,Unknown Food,Salmonella enterica,6,1.0,0.0
3632,2000,September,Florida,Restaurant,"Pork, Roasted",Salmonella enterica,3,1.0,0.0
3635,2000,September,Florida,Restaurant,"Sandwich, Turkey",Norovirus genogroup I,51,0.0,0.0
3637,2000,September,Florida,Restaurant,"Chicken, Unspecified",Salmonella enterica,4,0.0,0.0
3638,2000,September,Florida,Restaurant,"Pizza, Meat And Vegetable",Salmonella enterica,4,0.0,0.0
3642,2000,September,Florida,Private Home/Residence,"Potato, Mashed",Salmonella enterica,4,2.0,1.0
3644,2000,September,Florida,Restaurant,"Steak, Prime Rib",Staphylococcus aureus,2,0.0,0.0
3648,2000,September,Georgia,Restaurant,"Pork, Bbq",Staphylococcus aureus,89,6.0,0.0
3649,2000,September,Georgia,Catering Service,"Sandwich, Other Vegetable And Meat",Norovirus genogroup I,40,0.0,0.0
3650,2000,September,Hawaii,Private Home/Residence; Fair/Festival,"Fish, Reef Unspecified",Ciguatoxin,3,0.0,0.0
3651,2000,September,Hawaii,Restaurant,"Fish, Mahi Mahi",Scombroid toxin,2,0.0,0.0
3653,2000,September,Illinois,Restaurant,"Chicken, Roasted; Salad, Unspecified",Norovirus genogroup I,25,0.0,0.0
3657,2000,September,Illinois,Restaurant,"Pate, Unspecified",Salmonella enterica; Bacillus cereus,9,1.0,0.0
3667,2000,September,Minnesota,Restaurant,"Egg-Containing Food, Other; Multiple Foods",Salmonella enterica,16,1.0,0.0
3673,2000,September,New Jersey,Nursing Home/Assisted Living Facility,"Eggs, Unspecified",Salmonella enterica,18,2.0,0.0
3686,2000,September,Pennsylvania,Restaurant,"Other Cheese, Unspecified; Meat, Unspecified",Salmonella enterica,27,5.0,0.0
3687,2000,September,Pennsylvania,Catering Service,"Pork, Roasted",Clostridium perfringens,25,0.0,0.0
3689,2000,September,Pennsylvania,Restaurant,"Fish, Stuffed Flounder",Salmonella enterica,6,0.0,0.0
3697,2000,September,Utah,Restaurant,"Taco, Fish; Egg-Based Sauce, Other",Salmonella enterica,12,0.0,
3701,2000,September,Washington,Private Home/Residence,"Tuna, Unspecified",Scombroid toxin,2,0.0,0.0
3704,2000,October,California,,"Tuna, Unspecified",Scombroid toxin,8,0.0,0.0
3709,2000,October,California,Restaurant,"Lasagna, Beef",Salmonella enterica,7,1.0,0.0
3711,2000,October,California,Restaurant,"Salsa, Unspecified",Shigella sonnei,221,0.0,1.0
3712,2000,October,California,School/College/University; Camp,Tuna Salad,Norovirus genogroup I,50,0.0,0.0
3714,2000,October,California,Restaurant,"Deli Meat, Unspecified",Hepatitis A,10,1.0,1.0
3716,2000,October,California,Grocery Store,"Grapes, Red","Escherichia coli, Shiga toxin-producing",14,8.0,0.0
3724,2000,October,Florida,Restaurant,"Sandwich, Turkey","Escherichia coli, Shiga toxin-producing",2,1.0,
3745,2000,October,Hawaii,Private Home/Residence,"Fish, Roi",Ciguatoxin,2,0.0,0.0
3746,2000,October,Illinois,Restaurant; Private Home/Residence,"Water; Ravioli, Unspecified; Ground Beef, Meatballs",Norovirus genogroup I,135,1.0,0.0
3748,2000,October,Illinois,Restaurant,Lettuce-Based Salads Unspecified,Norovirus genogroup I,5,0.0,0.0
3750,2000,October,Illinois,Private Home/Residence,Coleslaw,Cryptosporidium parvum,8,0.0,0.0
3753,2000,October,Indiana,Restaurant,"Salad, Unspecified","Escherichia coli, Shiga toxin-producing",6,5.0,0.0
3754,2000,October,Iowa,Restaurant,Multiple Foods,Norovirus genogroup I,19,1.0,
3759,2000,October,Maryland,Restaurant,"Tuna, Unspecified",Scombroid toxin,9,0.0,0.0
3772,2000,October,Minnesota,Restaurant; Catering Service,"Dips, Unspecified; Vegetable Dip, Unspecified; Cherry Tomato",Norovirus genogroup I,34,0.0,0.0
3774,2000,October,Minnesota,Restaurant,Tuna Burger,Scombroid toxin,2,1.0,0.0
3775,2000,October,Minnesota,Restaurant,"Sandwich, Submarine",Norovirus genogroup I,14,0.0,0.0
3782,2000,October,New York,Nursing Home/Assisted Living Facility,"Eggs, Other",Salmonella enterica,4,0.0,
3784,2000,October,Ohio,Restaurant,"Mesclun Mix, Unspecified; House Salad",Pesticides,31,1.0,0.0
3787,2000,October,Ohio,Restaurant,"Soup Unspecified; Fried Rice, Unspecified",Salmonella enterica,6,1.0,
3789,2000,October,Pennsylvania,Restaurant,"Tuna, Unspecified",Scombroid toxin,3,0.0,0.0
3790,2000,October,Pennsylvania,Restaurant,"Fish, Stuffed Flounder",Salmonella enterica,25,10.0,0.0
3793,2000,October,Tennessee,Office/Indoor Workplace,"Cucumber, Unspecified",Norovirus genogroup I,39,0.0,0.0
3795,2000,October,Virginia,Restaurant,"Ham, Unspecified",Staphylococcus aureus,28,1.0,0.0
3798,2000,October,Washington,Restaurant,"Rice, Unspecified",Bacillus cereus,2,0.0,0.0
3800,2000,October,Wisconsin,School/College/University,"Cake, Brownie","Escherichia coli, Shiga toxin-producing",29,4.0,0.0
3814,2000,November,California,Prison/Jail,"Refried Beans, Unspecified",Clostridium perfringens,188,1.0,0.0
3821,2000,November,California,Private Home/Residence,"Bear, Unspecified",Trichinella spiralis,2,2.0,0.0
3825,2000,November,Florida,Restaurant,"Sandwich, Beef",Staphylococcus aureus,2,0.0,0.0
3829,2000,November,Florida,Restaurant,"Sandwich, Submarine",Norovirus genogroup I,45,0.0,0.0
3832,2000,November,Florida,Restaurant,"Sandwich, Chicken",Salmonella enterica,4,0.0,0.0
3848,2000,November,Hawaii,Private Home/Residence,"Seabass, Unspecified",Ciguatoxin,2,0.0,0.0
3863,2000,November,Illinois,,"Pizza, Cheese",Norovirus genogroup I,13,0.0,0.0
3883,2000,November,Minnesota,Catering Service,"Beer; Green Beans, Unspecified",Norovirus genogroup I,30,0.0,0.0
3887,2000,November,Multistate,Restaurant,Green Onion/Scallion,Hepatitis A,32,15.0,0.0
3888,2000,November,Multistate,Private Home/Residence; Grocery Store,"Ground Beef, Unspecified","Escherichia coli, Shiga toxin-producing",50,30.0,0.0
3890,2000,November,Multistate,Catering Service,Macaroni Salad,Salmonella enterica,18,6.0,1.0
3898,2000,November,Ohio,Office/Indoor Workplace,Fruit Salad,Norovirus genogroup II,107,3.0,0.0
3899,2000,November,Ohio,Restaurant,Water,Norovirus genogroup I,10,0.0,0.0
3903,2000,November,Ohio,Restaurant,Mixed Fruit; Lettuce-Based Salads Unspecified,Norovirus genogroup I,43,0.0,0.0
3905,2000,November,Oregon,Private Home/Residence,"Oysters, Raw",Norovirus genogroup I,3,0.0,0.0
3906,2000,November,Pennsylvania,Restaurant,"Tuna, Unspecified",Scombroid toxin,2,0.0,0.0
3908,2000,November,Tennessee,Restaurant,"Gravy, Chicken; Stuffing, Unspecified",Salmonella enterica,26,19.0,0.0
3909,2000,November,Tennessee,Restaurant,"Salad, Unspecified",Bacillus cereus,3,0.0,0.0
3911,2000,November,Virginia,Private Home/Residence,"Deviled Eggs; Green Beans, Unspecified",Salmonella enterica,29,3.0,0.0
3912,2000,November,Virginia,Restaurant,Coleslaw,Norovirus genogroup I,16,0.0,0.0
3916,2000,November,Washington,,"Rice, Spanish",Bacillus cereus,4,0.0,0.0
3918,2000,November,Washington,Private Home/Residence,Multiple Foods,Norovirus genogroup I,11,0.0,0.0
3919,2000,November,Washington,Restaurant,Multiple Foods,Virus,11,0.0,0.0
3921,2000,November,Wisconsin,Restaurant,"Carnitas, Unspecified",Staphylococcus aureus,17,0.0,0.0
3922,2000,November,Wisconsin,Restaurant; Catering Service; Grocery Store,"Gravy, Unspecified; Roast Beef, Unspecified; Mushrooms, Unspecified",Clostridium perfringens,61,0.0,0.0
3924,2000,December,Alaska,Restaurant,"Crab, Unspecified",Hepatitis A,7,0.0,0.0
3935,2000,December,California,Restaurant,"Chile Relleno, Unspecified",Salmonella enterica,4,0.0,0.0
3940,2000,December,California,Restaurant,"Chile Relleno, Unspecified",Salmonella enterica,5,3.0,
3942,2000,December,Colorado,Catering Service,"Turkey, Roasted",Clostridium perfringens,27,0.0,0.0
3943,2000,December,Connecticut,Restaurant,"Salad, Unspecified",Norovirus genogroup I,55,1.0,0.0
3944,2000,December,Florida,Restaurant,"Pizza, Meat",Shigella unknown,2,0.0,0.0
3946,2000,December,Florida,Restaurant,"Peas, Unspecified; Potato, Unspecified",Bacillus cereus,3,0.0,0.0
3949,2000,December,Florida,Restaurant,"Steak, Sirloin",Staphylococcus aureus,3,0.0,0.0
3950,2000,December,Florida,Restaurant,Green Salad,Norovirus genogroup I,18,0.0,0.0
3955,2000,December,Florida,Restaurant,"Sandwich, Chicken",Bacillus cereus,2,0.0,0.0
3957,2000,December,Florida,Grocery Store,"Crab, Unspecified",Chemical or toxin,2,0.0,0.0
3961,2000,December,Florida,Restaurant,Chicken Fried Rice,Bacillus cereus,2,0.0,0.0
3963,2000,December,Florida,Restaurant,"Chicken, Nuggets/Fingers",Staphylococcus aureus,3,0.0,0.0
3967,2000,December,Hawaii,Restaurant,"Pork, Other",Clostridium perfringens,14,0.0,0.0
3968,2000,December,Hawaii,Private Home/Residence,Unknown Fish,Ciguatoxin,2,0.0,0.0
3978,2000,December,Indiana,Grocery Store,"Sandwich, Unspecified",Virus,17,0.0,0.0
3982,2000,December,Kansas,Restaurant; Grocery Store,Chicken Pasta Salad,Norovirus genogroup I,14,0.0,0.0
3984,2000,December,Maine,Restaurant,Lettuce-Based Salads Unspecified,Norovirus genogroup I,15,0.0,0.0
4008,2000,December,Minnesota,Restaurant,"Ground Beef, Hamburger; Coleslaw",Norovirus genogroup I,35,0.0,0.0
4010,2000,December,Minnesota,Restaurant,"Sandwich, Submarine",Norovirus genogroup I,7,0.0,0.0
4011,2000,December,Minnesota,Private Home/Residence,Rolls,Norovirus genogroup I,15,0.0,0.0
4014,2000,December,New York,Private Home/Residence,"Eggnog, Unspecified",Salmonella enterica,12,6.0,
4017,2000,December,New York,Restaurant,Other Food,Staphylococcus aureus,47,9.0,0.0
4020,2000,December,Ohio,Restaurant,"Tomato, Unspecified",Norovirus genogroup II,31,0.0,0.0
4022,2000,December,Ohio,Restaurant,"Sandwich, Submarine",Norovirus genogroup II,13,0.0,0.0
4023,2000,December,Ohio,Private Home/Residence,"Pizza, Meat And Vegetable",Norovirus genogroup II,20,0.0,0.0
4025,2000,December,Ohio,Private Home/Residence; Camp,"Roast Beef, Unspecified; Turkey, Unspecified; Turkey And Stuffing; Gravy, Unspecified",Clostridium perfringens,54,0.0,0.0
4029,2000,December,Ohio,Private Home/Residence,"Turkey, Smoked",Salmonella enterica,3,0.0,0.0
4031,2000,December,Oregon,Prison/Jail,Coleslaw,Norovirus genogroup I,65,1.0,0.0
4035,2000,December,Pennsylvania,Private Home/Residence,"Tuna, Unspecified",Scombroid toxin,4,0.0,0.0
4038,2000,December,Tennessee,Restaurant,"Roast Beef, Unspecified",Staphylococcus aureus,7,0.0,0.0
4045,2000,December,Vermont,Restaurant,"Ground Beef, Meatballs",Salmonella enterica,6,0.0,0.0
4046,2000,December,Washington,Private Home/Residence; Grocery Store,"Turkey, Unspecified",Salmonella enterica,5,0.0,0.0
4047,2000,December,Washington,,"Mixed Vegetables, Unspecified; Pie, Pumpkin; Waldorf Salad",Norovirus genogroup I,31,1.0,0.0
4049,2000,December,Washington,Restaurant,"Deli Meat, Unspecified; Potato Salad",Virus,19,0.0,0.0
